iter	Passed	Remaining
0	141	21013
1	147	10935
2	154	7556
3	161	5884
4	168	4886
5	175	4218
6	183	3757
7	190	3390
8	197	3092
9	204	2856
10	210	2662
11	216	2495
12	223	2359
13	230	2234
14	236	2130
15	242	2034
16	250	1956
17	256	1882
18	263	1816
19	270	1756
20	276	1699
21	283	1649
22	290	1602
23	298	1568
24	305	1526
25	312	1489
26	320	1461
27	327	1428
28	335	1401
29	342	1368
30	349	1342
31	356	1313
32	362	1284
33	368	1258
34	376	1236
35	383	1214
36	389	1190
37	396	1168
38	403	1147
39	408	1124
40	417	1109
41	425	1094
42	473	1177
43	481	1159
44	488	1138
45	495	1121
46	502	1101
47	510	1084
48	517	1067
49	529	1058
50	537	1043
51	546	1029
52	553	1012
53	563	1001
54	571	987
55	580	973
56	586	956
57	594	943
58	601	927
59	609	914
60	617	900
61	627	890
62	634	876
63	641	861
64	647	846
65	653	831
66	659	816
67	664	801
68	671	788
69	677	774
70	685	762
71	690	748
72	696	734
73	702	721
74	708	708
75	715	696
76	722	684
77	728	672
78	734	660
79	741	648
80	747	636
81	754	625
82	759	613
83	765	601
84	771	590
85	777	578
86	783	567
87	790	556
88	796	545
89	802	535
90	808	524
91	826	521
92	833	510
93	838	499
94	843	488
95	849	477
96	855	467
97	861	457
98	867	447
99	873	436
100	880	427
101	885	416
102	891	406
103	897	396
104	904	387
105	915	379
106	928	373
107	936	364
108	944	355
109	958	348
110	967	339
111	978	331
112	986	323
113	1000	315
114	1008	307
115	1015	297
116	1022	288
117	1029	279
118	1036	270
119	1043	260
120	1049	251
121	1059	243
122	1065	233
123	1073	224
124	1079	215
125	1085	206
126	1092	197
127	1097	188
128	1104	179
129	1110	170
130	1117	162
131	1123	153
132	1129	144
133	1135	135
134	1141	126
135	1146	118
136	1153	109
137	1158	100
138	1164	92
139	1170	83
140	1175	75
141	1180	66
142	1202	58
143	1208	50
144	1214	41
145	1220	33
146	1225	25
147	1231	16
148	1237	8
149	1242	0
