customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-['T' 'O' 'K' 'H' 'U'],Male,0,No,No,52,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,48.99,2551.44,No
6734-['Z' 'S' 'W' 'K' 'K'],Female,0,No,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.11,105.97,No
9322-['V' 'U' 'B' 'X' 'L'],Female,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),48.08,3216.99,No
7949-['B' 'U' 'A' 'L' 'Z'],Female,0,No,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.62,1175.79,No
7396-['L' 'Y' 'Q' 'J' 'P'],Male,0,Yes,Yes,68,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,41.05,2792.89,No
1189-['O' 'S' 'L' 'W' 'T'],Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.28,208.40,Yes
2528-['C' 'E' 'S' 'G' 'U'],Male,0,Yes,No,65,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),50.69,3300.93,No
6393-['D' 'Y' 'N' 'R' 'Z'],Female,0,No,No,68,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,76.96,5231.94,No
8513-['U' 'B' 'T' 'O' 'G'],Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.58,50.93,No
1775-['O' 'C' 'N' 'Q' 'D'],Male,0,No,No,71,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,49.58,3505.44,No
